stop_id,trip_id,timepoint,stop_sequence,arrival_time,departure_time
27.501153.036202304211030260,T_141,1,1,10:30:26,10:30:26
27.426153.1520230421110702144,T_141,1,2,11:07:02,11:07:02
27.426153.15202304211910140,T_142,1,1,19:10:14,19:10:14
27.446153.1722023042119174640,T_142,1,2,19:17:46,19:17:46
27.446153.172202304211925100,T_143,1,1,19:25:10,19:25:10
27.426153.152023042119313836,T_143,1,2,19:31:38,19:31:38
27.426153.15202304240624010,T_144,1,1,06:24:01,06:24:01
27.469153.02520230424070107140,T_144,1,2,07:01:07,07:01:07
27.469153.025202304240731150,T_145,1,1,07:31:15,07:31:15
27.479153.0232023042407451231,T_145,1,2,07:45:12,07:45:12
27.479153.023202304240802500,T_146,1,1,08:02:50,08:02:50
27.426153.1520230424084538141,T_146,1,2,08:45:38,08:45:38
27.426153.15202304240904530,T_147,1,1,09:04:53,09:04:53
27.441153.1282023042409180746,T_147,1,2,09:18:07,09:18:07
27.441153.128202304240922500,T_148,1,1,09:22:50,09:22:50
27.472153.02620230424095822124,T_148,1,2,09:58:22,09:58:22
27.472153.026202304240958220,T_149,1,1,09:58:22,09:58:22
27.456153.0332023042410223129,T_149,1,2,10:22:31,10:22:31
27.456153.033202304241033020,T_150,1,1,10:33:02,10:33:02
27.483153.0362023042410450933,T_150,1,2,10:45:09,10:45:09
27.483153.036202304241100020,T_151,1,1,11:00:02,11:00:02
27.501153.0362023042411074728,T_151,1,2,11:07:47,11:07:47
27.487153.035202304241135430,T_152,1,1,11:35:43,11:35:43
27.93153.18320230424124128447,T_152,1,2,12:41:28,12:41:28
27.928153.185202304241321120,T_153,1,1,13:21:12,13:21:12
27.426153.1520230424143220482,T_153,1,2,14:32:20,14:32:20
27.426153.15202304241908110,T_154,1,1,19:08:11,19:08:11
27.444153.1722023042419155837,T_154,1,2,19:15:58,19:15:58
27.444153.172202304241929480,T_155,1,1,19:29:48,19:29:48
27.426153.152023042419364534,T_155,1,2,19:36:45,19:36:45
27.426153.15202304260623150,T_156,1,1,06:23:15,06:23:15
27.469153.02520230426071415160,T_156,1,2,07:14:15,07:14:15
27.469153.025202304260738480,T_157,1,1,07:38:48,07:38:48
27.479153.0232023042607533735,T_157,1,2,07:53:37,07:53:37
27.479153.023202304260818540,T_158,1,1,08:18:54,08:18:54
27.487153.0352023042608260226,T_158,1,2,08:26:02,08:26:02
27.487153.03202304260909550,T_159,1,1,09:09:55,09:09:55
27.426153.1520230426100221184,T_159,1,2,10:02:21,10:02:21
27.426153.15202304261023420,T_160,1,1,10:23:42,10:23:42
27.456153.03320230426105344126,T_160,1,2,10:53:44,10:53:44
27.456153.033202304261102120,T_161,1,1,11:02:12,11:02:12
27.472153.0262023042611153329,T_161,1,2,11:15:33,11:15:33
27.471153.026202304261131550,T_162,1,1,11:31:55,11:31:55
27.483153.0362023042611394128,T_162,1,2,11:39:41,11:39:41
27.487153.03202304261210530,T_163,1,1,12:10:53,12:10:53
27.5153.0362023042612224427,T_163,1,2,12:22:44,12:22:44
27.5153.036202304261244470,T_164,1,1,12:44:47,12:44:47
27.481153.0392023042612531122,T_164,1,2,12:53:11,12:53:11
27.481153.039202304261313070,T_165,1,1,13:13:07,13:13:07
27.426153.1520230426135103137,T_165,1,2,13:51:03,13:51:03
27.426153.152202304261354570,T_166,1,1,13:54:57,13:54:57
27.426153.152023042614264843,T_166,1,2,14:26:48,14:26:48
27.426153.15202304270648360,T_167,1,1,06:48:36,06:48:36
27.469153.02520230427075016177,T_167,1,2,07:50:16,07:50:16
