stop_code,stop_id,stop_lat,stop_lon,stop_name,zone_id
U00939,10665,28.614800,77.097700,Janakpuri C-5A,10665
U00956,10666,28.610951,77.098914,Desu Colony Janakpuri,10666
U01069,10667,28.618223,77.112115,Zunk Market,10667
U01100,10668,28.622267,77.117100,Gulab House,10668
U01115,10669,28.623950,77.118600,Bobby Soap,10669
U01125,10670,28.625367,77.119750,PS Mayapuri,10670
U01175,10671,28.629000,77.122817,Metal Forging,10671
U01217,10672,28.634617,77.127633,Government Press,10672
U01231,10673,28.636850,77.128350,Mayapuri Depot,10673
U01305,10674,28.626883,77.135333,Naraina Vihar / Indra Market,10674
U01348,10675,28.631400,77.138400,Payal Cinema,10675
U01436,10676,28.641383,77.145217,Loha Mandi,10676
U01494,10677,28.644717,77.147667,Bentax,10677
U01466,10678,28.649050,77.151300,Naraina Depot,10678
U01520,10679,28.650051,77.153678,Pandav Nagar,10679
U01549,10680,28.651600,77.156100,Shadipur Colony,10680
U01581,10681,28.651500,77.158700,Shadipur Metro Station,10681
U01663,10682,28.647950,77.164783,West Patel Nagar,10682
U01729,10683,28.645400,77.168900,South Patel Nagar (Metro Station),10683
U01769,10684,28.642967,77.173150,East Patel Nagar,10684
U01843,10685,28.642500,77.177300,Rajendra Place,10685
U02034,10686,28.644200,77.189000,Karol Bagh Metro Station,10686
U02113,10687,28.644800,77.193400,Pusa Road Petrol Pump Sadhu Vaswani Marg,10687
U02237,10688,28.644000,77.200983,Meghdoot Bhawan,10688
U02285,10689,28.644100,77.203600,Videocon Tower,10689
U02396,10690,28.646179,77.208232,Paharganj Police Station,10690
U02482,10691,28.645200,77.213300,Dispensary Paharganj,10691
U02693,10692,28.643383,77.225733,Ajmeri Gate / Kamla Market,10692
U02744,10693,28.642068,77.228325,JLN Marg,10693
U02781,10694,28.641166,77.230002,Zakir Husain College,10694
U02820,10695,28.641834,77.233136,Turkman Gate / GB Pant Hospital,10695
U02841,10696,28.641200,77.235016,Delite Cinema,10696
U02885,10697,28.640730,77.238584,Delhi Gate,10697
U02856,10698,28.653961,77.236450,Red Fort,10698
U02839,10699,28.661944,77.234569,GPO,10699
U02786,10700,28.665331,77.230123,Guru Govind Singh University (Kashmere Gate),10700
U02785,10701,28.666756,77.229348,ISBT Kashmere Gate,10701
U02681,10702,28.666517,77.225883,Mori Gate Terminal,10702
DC5262,10703,28.795005,77.041136,Bawana Sec 1 Cluster Depot,10703
DC4557,10704,28.819594,77.063606,Sannoth Crossing / Ghoga Crossing,10704
DC5260,10705,28.815610,77.070980,Sannoth Village,10705
DC5103,10706,28.809729,77.087395,Holambi Kalan JJ Colony,10706
DC5362,10707,28.809404,77.098773,Holambi Kalan Fatak,10707
DC4997,10708,28.809357,77.107460,Holambi Kalan Crossing,10708
DC5009,10709,28.797139,77.117385,Holambi Khurd Crossing,10709
DC5010,10710,28.798040,77.127346,Alipur Garhi,10710
DC5011,10711,28.797253,77.133138,Alipur Village,10711
DC4808,10712,28.802200,77.138600,Pwd Office,10712
DC4965,10713,28.811931,77.135652,Bakauli Village,10713
DC4966,10714,28.824805,77.131830,Khampur Village,10714
DC5417,10715,28.835211,77.128460,Tikri Khurd Crossing,10715
DC5416,10716,28.835878,77.123800,Tikri Khurd,10716
U03656,10717,28.646328,77.314904,Anand Vihar ISBT Terminal,10717
U03710,10718,28.660523,77.319926,Ram Prastha Crossing,10718
U03713,10719,28.663552,77.320362,Ram Prastha Temple,10719
U03724,10720,28.666954,77.321483,Surya Nagar (Gazipur Road),10720
DC3662,10721,28.676241,77.321331,Shahdara Border GT Road,10721
U03689,10722,28.676186,77.317518,Jhilmil Xing,10722
U03647,10723,28.675883,77.311800,Dilshad Garden GT Road,10723
U99890,10724,28.675817,77.309217,Telephone Exchange,10724
U03515,10725,28.675479,77.300119,Mansarovar Park Metro Station,10725
U03296,10726,28.672000,77.275000,Welcome Colony Metro Station,10726
U03241,10727,28.671799,77.273380,Welcome Colony,10727
U03198,10728,28.670722,77.266485,Seelampur Metro Station,10728
U03167,10729,28.670717,77.261917,Dharam Pura,10729
U03125,10730,28.672300,77.257100,Shastri Park,10730
DC3593,10731,28.673195,77.251804,Shastri Park,10731
U03020,10732,28.673820,77.248024,Shyam Giri Mandir,10732
DC3594,10733,28.674167,77.243433,Shastri Park DMRC Depot,10733
U02948,10734,28.673433,77.241183,Shastri Park Metro Depot,10734
DC3595,10735,28.669230,77.228774,ISBT Bridge,10735
U02382,10736,28.662700,77.207500,Azad Market,10736
U02319,10737,28.660752,77.204049,Bara Hindu Rao,10737
U02291,10738,28.657229,77.203685,Model Basti,10738
U02202,10739,28.655331,77.198831,Guru Govind Singh Marg,10739
U02121,10740,28.657540,77.194648,Tibiya College,10740
DC3657,10741,28.659086,77.191154,Ram Jas Road,10741
U99836,10742,28.659825,77.188866,Liberty Cinema,10742
U01968,10743,28.661182,77.185019,Sarai Rohilla Govt Qtrs (Rohtak Road),10743
U01925,10744,28.662538,77.182083,Sarai Rohila (Rohtak Road),10744
U01812,10745,28.665198,77.174292,Anand Parvat Industrial Area,10745
U01744,10746,28.666350,77.170027,Daya Basti Flyover,10746
U01672,10747,28.668391,77.165402,Zakhira Flyover,10747
U01533,10748,28.671287,77.156585,Ashok Park,10748
U01491,10749,28.671724,77.153627,Ram Pura,10749
