stop_id,trip_id,timepoint,stop_sequence,arrival_time,departure_time
27.43153.07202305011321200,T_209,1,1,821,821
27.43153.152023050113364286,T_209,1,2,858,858
27.43153.15202305011400070,T_210,1,1,847,847
27.43153.152023050114050222,T_210,1,2,847,847
27.43153.15202305020631480,T_211,1,1,439,439
27.47153.0220230502072026163,T_211,1,2,466,466
27.47153.02202305020745260,T_212,1,1,491,491
27.48153.022023050207594931,T_212,1,2,528,528
27.48153.02202305020816210,T_213,1,1,517,517
27.49153.042023050208265328,T_213,1,2,559,559
27.49153.04202305020844560,T_214,1,1,580,580
27.43153.1520230502091836126,T_214,1,2,594,594
27.43153.15202305020958020,T_215,1,1,600,600
27.48153.0420230502103228159,T_215,1,2,660,660
27.48153.04202305021046300,T_216,1,1,676,676
27.5153.042023050210541524,T_216,1,2,669,669
27.5153.04202305021116180,T_217,1,1,694,694
27.49153.032023050211531271,T_217,1,2,725,725
27.49153.03202305021202190,T_218,1,1,741,741
27.47153.032023050212120437,T_218,1,2,736,736
27.47153.03202305021227030,T_219,1,1,750,750
27.46153.032023050212392127,T_219,1,2,780,780
27.46153.03202305021248020,T_220,1,1,770,770
27.43153.1520230502132137118,T_220,1,2,838,838
27.43153.15202305022006300,T_221,1,1,1236,1236
27.44153.172023050220144435,T_221,1,2,1258,1258
27.44153.17202305022025270,T_222,1,1,1252,1252
27.43153.152023050220323136,T_222,1,2,1263,1263
27.43153.15202305030618200,T_223,1,1,398,398
27.47153.0220230503070319143,T_223,1,2,442,442
27.47153.02202305030716330,T_224,1,1,469,469
27.48153.022023050307312636,T_224,1,2,477,477
27.48153.02202305030753530,T_225,1,1,526,526
27.47153.032023050308133841,T_225,1,2,531,531
27.47153.03202305030813380,T_226,1,1,531,531
27.46153.032023050308425728,T_226,1,2,579,579
27.46153.03202305030858520,T_227,1,1,590,590
27.48153.042023050309085629,T_227,1,2,604,604
27.48153.04202305030934180,T_228,1,1,592,592
27.43153.1520230503101252142,T_228,1,2,664,664
27.43153.15202305031042250,T_229,1,1,667,667
27.5153.0420230503112056150,T_229,1,2,736,736
27.5153.04202305031137260,T_230,1,1,723,723
27.49153.042023050311463024,T_230,1,2,736,736
27.48153.04202305031230540,T_231,1,1,804,804
27.43153.1520230503131226143,T_231,1,2,818,818
27.43153.15202305031919160,T_232,1,1,1175,1175
