block_id,direction_id,route_id,service_id,shape_id,trip_headsign,trip_id,trip_short_name,wheelchair_accessible
1,1,R1,SU,R001_1,Aluva,R1SUL093730,09:37 Aluva,1
1,0,R1,SU,R001_0,Thaikoodam,R1SUR101715,10:17 Thaikoodam,1
1,1,R1,SU,R001_1,Aluva,R1SUL110500,11:05 Aluva,1
1,0,R1,SU,R001_0,Thaikoodam,R1SUR115130,11:51 Thaikoodam,1
1,1,R1,SU,R001_1,Aluva,R1SUL123700,12:37 Aluva,1
1,0,R1,SU,R001_0,Thaikoodam,R1SUR132128,13:21 Thaikoodam,1
1,1,R1,SU,R001_1,Aluva,R1SUL140700,14:07 Aluva,1
1,0,R1,SU,R001_0,Thaikoodam,R1SUR145230,14:52 Thaikoodam,1
1,1,R1,SU,R001_1,Aluva,R1SUL153800,15:38 Aluva,1
1,0,R1,SU,R001_0,Thaikoodam,R1SUR162330,16:23 Thaikoodam,1
1,1,R1,SU,R001_1,Aluva,R1SUL170900,17:09 Aluva,1
1,0,R1,SU,R001_0,Thaikoodam,R1SUR175430,17:54 Thaikoodam,1
1,1,R1,SU,R001_1,Aluva,R1SUL184000,18:40 Aluva,1
1,0,R1,SU,R001_0,Thaikoodam,R1SUR192730,19:27 Thaikoodam,1
1,1,R1,SU,R001_1,Aluva,R1SUL201300,20:13 Aluva,1
1,0,R1,SU,R001_0,Thaikoodam,R1SUR205235,20:52 Thaikoodam,1
1,1,R1,SU,R001_1,Aluva,R1SUL214230,21:42 Aluva,1
3,1,R1,SU,R001_1,Aluva,R1SUL075639,07:56 Aluva,1
3,0,R1,SU,R001_0,Thaikoodam,R1SUR083330,08:33 Thaikoodam,1
